Movie,trunc,Release Date,Distributor,Genre
Cinderella Man,Cinderella Man,"Jun 3, 2005",Universal,Drama
Red-Eye,Red-Eye,"Aug 19, 2005",Dreamworks SKG,Thriller/Suspense
White Noise,White Noise,"Jan 7, 2005",Universal,Horror
Wallace & Gromit: The Curse…,Wallace & Gromit: Th,"Oct 7, 2005",Dreamworks SKG,Adventure
Be Cool,Be Cool,"Mar 4, 2005",MGM,Comedy
Crash,Crash,"May 6, 2005",Lionsgate,Drama
Fun with Dick & Jane,Fun with Dick & Jane,"Dec 21, 2005",Sony Pictures,Black Comedy
Corpse Bride,Corpse Bride,"Sep 16, 2005",Warner Bros.,Adventure
Kicking and Screaming,Kicking and Screamin,"May 13, 2005",Universal,Comedy
Blade: Trinity,Blade: Trinity,"Dec 8, 2004",New Line,Action
Finding Neverland,Finding Neverland,"Nov 12, 2004",Miramax,Drama
Hide and Seek,Hide and Seek,"Jan 28, 2005",20th Century Fox,Horror
The Hitchhiker’s Guide to t…,The Hitchhiker’s Gui,"Apr 29, 2005",Walt Disney,Adventure
"Yours, Mine and Ours","Yours, Mine and Ours","Nov 23, 2005",Paramount Pictures,Comedy
Diary of a Mad Black Woman,Diary of a Mad Black,"Feb 25, 2005",Lionsgate,Drama
Racing Stripes,Racing Stripes,"Jan 14, 2005",Warner Bros.,Adventure
Sideways,Sideways,"Oct 22, 2004",Fox Searchlight,Drama
Miss Congeniality 2: Armed …,Miss Congeniality 2:,"Mar 24, 2005",Warner Bros.,Comedy
Just Like Heaven,Just Like Heaven,"Sep 16, 2005",Dreamworks SKG,Romantic Comedy
The Skeleton Key,The Skeleton Key,"Aug 12, 2005",Universal,Horror
Kingdom of Heaven,Kingdom of Heaven,"May 6, 2005",20th Century Fox,Action
Boogeyman,Boogeyman,"Feb 4, 2005",Sony Pictures,Horror
Cheaper by the Dozen 2,Cheaper by the Dozen,"Dec 21, 2005",20th Century Fox,Comedy
The Legend of Zorro,The Legend of Zorro,"Oct 28, 2005",Sony Pictures,Adventure
In Good Company,In Good Company,"Dec 29, 2004",Universal,Comedy
Must Love Dogs,Must Love Dogs,"Jul 29, 2005",Warner Bros.,Romantic Comedy
The Transporter 2,The Transporter 2,"Sep 2, 2005",20th Century Fox,Action
Fever Pitch,Fever Pitch,"Apr 8, 2005",20th Century Fox,Romantic Comedy
The Family Stone,The Family Stone,"Dec 16, 2005",20th Century Fox,Comedy
Bridget Jones: The Edge Of …,Bridget Jones: The E,"Nov 12, 2004",Universal,Romantic Comedy
The Adventures of Sharkboy …,The Adventures of Sh,"Jun 10, 2005",Miramax/Dimension,Adventure
The Sisterhood of the Trave…,The Sisterhood of th,"Jun 1, 2005",Warner Bros.,Drama
The Brothers Grimm,The Brothers Grimm,"Aug 26, 2005",Miramax/Dimension,Adventure
Syriana,Syriana,"Nov 23, 2005",Warner Bros.,Thriller/Suspense
Beauty Shop,Beauty Shop,"Mar 30, 2005",MGM,Comedy
The Island,The Island,"Jul 22, 2005",Dreamworks SKG,Action
Derailed,Derailed,"Nov 11, 2005",Weinstein Co.,Thriller/Suspense
The Phantom of the Opera,The Phantom of the O,"Dec 22, 2004",Warner Bros.,Musical
Hostage,Hostage,"Mar 11, 2005",Miramax,Action
Alexander,Alexander,"Nov 24, 2004",Warner Bros.,Action
Closer,Closer,"Dec 17, 2004",Sony Pictures,Drama
Pride and Prejudice,Pride and Prejudice,"Nov 11, 2005",Focus Features,Drama
The Constant Gardener,The Constant Gardene,"Aug 31, 2005",Focus Features,Thriller/Suspense
The Bad News Bears,The Bad News Bears,"Jul 22, 2005",Paramount Pictures,Comedy
In Her Shoes,In Her Shoes,"Oct 7, 2005",20th Century Fox,Drama
Dreamer: Inspired by a True…,Dreamer: Inspired by,"Oct 21, 2005",Dreamworks SKG,Drama
Because of Winn-Dixie,Because of Winn-Dixi,"Feb 18, 2005",20th Century Fox,Comedy
Stealth,Stealth,"Jul 29, 2005",Sony Pictures,Action
House of Wax,House of Wax,"May 6, 2005",Warner Bros.,Horror
The Wedding Date,The Wedding Date,"Feb 4, 2005",Universal,Romantic Comedy
Just Friends,Just Friends,"Nov 23, 2005",New Line,Romantic Comedy
A History of Violence,A History of Violenc,"Sep 23, 2005",New Line,Thriller/Suspense
Get Rich or Die Tryin',Get Rich or Die Tryi,"Nov 9, 2005",Paramount Pictures,Drama
The Fog,The Fog,"Oct 14, 2005",Sony Pictures,Horror
Rent,Rent,"Nov 23, 2005",Sony Pictures,Musical
After the Sunset,After the Sunset,"Nov 12, 2004",New Line,Action
Memoirs of a Geisha,Memoirs of a Geisha,"Dec 16, 2005",Sony Pictures,Drama
Zathura,Zathura,"Nov 11, 2005",Sony Pictures,Adventure
Doom,Doom,"Oct 21, 2005",Universal,Horror
XXX: State of the Union,XXX: State of the Un,"Apr 29, 2005",Sony Pictures,Action
Elizabethtown,Elizabethtown,"Oct 14, 2005",Paramount Pictures,Drama
Garden State,Garden State,"Jul 28, 2004",Fox Searchlight,Drama
Serenity,Serenity,"Sep 30, 2005",Universal,Action
Dark Water,Dark Water,"Jul 8, 2005",Walt Disney,Horror
Aeon Flux,Aeon Flux,"Dec 2, 2005",Paramount Pictures,Action
Danny the Dog,Danny the Dog,"May 13, 2005",Focus/Rogue Pictures,Action
Rumor Has It,Rumor Has It,"Dec 25, 2005",Warner Bros.,Comedy
Elektra,Elektra,"Jan 14, 2005",20th Century Fox,Action
Ice Princess,Ice Princess,"Mar 18, 2005",Walt Disney,Comedy
Lord of War,Lord of War,"Sep 16, 2005",Lionsgate,Drama
Lemony Snicket's A Series o…,Lemony Snicket's A S,"Dec 17, 2004",Paramount Pictures,Adventure
Good Night and Good Luck,Good Night and Good ,"Oct 7, 2005",Warner Independent,Drama
Hotel Rwanda,Hotel Rwanda,"Dec 22, 2004",MGM,Drama
2 For the Money,2 For the Money,"Oct 7, 2005",Universal,Drama
Prime,Prime,"Oct 28, 2005",Universal,Romantic Comedy
Deuce Bigalow: European Gigolo,Deuce Bigalow: Europ,"Aug 12, 2005",Sony Pictures,Comedy
Hustle & Flow,Hustle & Flow,"Jul 22, 2005",Paramount Vantage,Drama
A Lot Like Love,A Lot Like Love,"Apr 22, 2005",Walt Disney,Romantic Comedy
Fat Albert,Fat Albert,"Dec 25, 2004",20th Century Fox,Comedy
Flight of the Phoenix,Flight of the Phoeni,"Dec 17, 2004",20th Century Fox,Adventure
George A. Romero's Land of …,George A. Romero's L,"Jun 24, 2005",Universal,Horror
Assault On Precinct 13,Assault On Precinct ,"Jan 19, 2005",Focus/Rogue Pictures,Action
The Ringer,The Ringer,"Dec 23, 2005",Fox Searchlight,Comedy
Man of the House,Man of the House,"Feb 25, 2005",Sony Pictures,Comedy
Valiant,Valiant,"Aug 19, 2005",Walt Disney,Adventure
Cursed,Cursed,"Feb 25, 2005",Miramax/Dimension,Horror
Into the Blue,Into the Blue,"Sep 30, 2005",Sony Pictures,Adventure
The Upside of Anger,The Upside of Anger,"Mar 11, 2005",New Line,Drama
Ocean's Twelve,Ocean's Twelve,"Dec 10, 2004",Warner Bros.,Adventure
National Treasure,National Treasure,"Nov 19, 2004",Walt Disney,Adventure
North Country,North Country,"Oct 21, 2005",Warner Bros.,Drama
Pooh's Heffalump Movie,Pooh's Heffalump Mov,"Feb 11, 2005",Walt Disney,Adventure
The Polar Express,The Polar Express,"Nov 10, 2004",Warner Bros.,Adventure
Roll Bounce,Roll Bounce,"Sep 23, 2005",Fox Searchlight,Comedy
Kung Fu Hustle,Kung Fu Hustle,"Apr 8, 2005",Sony Pictures Cla…,Action
Ghosts of the Abyss,Ghosts of the Abyss,"Apr 11, 2003",Walt Disney,Documentary
The Devil's Rejects,The Devil's Rejects,"Jul 22, 2005",Lionsgate,Horror
Son of the Mask,Son of the Mask,"Feb 18, 2005",New Line,Adventure
Adrenaline Rush: The Scienc…,Adrenaline Rush: The,"Oct 18, 2002",Giant Screen Films,Documentary
Rebound,Rebound,"Jul 1, 2005",20th Century Fox,Comedy
The Perfect Man,The Perfect Man,"Jun 17, 2005",Universal,Romantic Comedy
Waiting...,Waiting...,"Oct 7, 2005",Lionsgate,Comedy
The Gospel,The Gospel,"Oct 7, 2005",Sony Pictures,Drama
Galapagos,Galapagos,"Oct 29, 1999",IMAX Films,Documentary
The Greatest Game Ever Played,The Greatest Game Ev,"Sep 30, 2005",Walt Disney,Drama
The Cave,The Cave,"Aug 26, 2005",Sony Pictures,Horror
Munich,Munich,"Dec 23, 2005",Universal,Thriller/Suspense
Brokeback Mountain,Brokeback Mountain,"Dec 9, 2005",Focus Features,Drama
Broken Flowers,Broken Flowers,"Aug 5, 2005",Focus Features,Comedy
Alfie,Alfie,"Nov 5, 2004",Paramount Pictures,Comedy
The Honeymooners,The Honeymooners,"Jun 10, 2005",Paramount Pictures,Comedy
The Weather Man,The Weather Man,"Oct 28, 2005",Paramount Pictures,Drama
Wolf Creek,Wolf Creek,"Dec 25, 2005",Weinstein Co.,Horror
Capote,Capote,"Sep 30, 2005",Sony Pictures Cla…,Drama
Lords of Dogtown,Lords of Dogtown,"Jun 3, 2005",Sony Pictures,Drama
Spanglish,Spanglish,"Dec 17, 2004",Sony Pictures,Comedy
The Producers: The Movie Mu…,The Producers: The M,"Dec 25, 2005",Universal,Musical
In the Mix,In the Mix,"Nov 23, 2005",Lionsgate,Comedy
Domino,Domino,"Oct 14, 2005",New Line,Action
The Great Raid,The Great Raid,"Aug 12, 2005",Miramax,Action
Shopgirl,Shopgirl,"Oct 21, 2005",Walt Disney,Drama
Cry Wolf,Cry Wolf,"Sep 16, 2005",Focus/Rogue Pictures,Thriller/Suspense
Seducing Doctor Lewis,Seducing Doctor Lewi,"Jun 18, 2004",Odeon Films,Comedy
The Incredibles,The Incredibles,"Nov 5, 2004",Walt Disney,Adventure
The Life Aquatic with Steve…,The Life Aquatic wit,"Dec 25, 2004",Walt Disney,Comedy
The Ice Harvest,The Ice Harvest,"Nov 23, 2005",Focus Features,Black Comedy
Darkness,Darkness,"Dec 25, 2004",Miramax/Dimension,Horror
An Unfinished Life,An Unfinished Life,"Sep 9, 2005",Miramax,Drama
Sharks 3D,Sharks 3D,"Jan 28, 2005",3D Entertainment,Documentary
The Man,The Man,"Sep 9, 2005",New Line,Comedy
Space Station,Space Station,"Apr 19, 2002",IMAX Films,Documentary
Mad Hot Ballroom,Mad Hot Ballroom,"May 13, 2005",Paramount Vantage,Documentary
Being Julia,Being Julia,"Oct 15, 2004",Sony Pictures,Drama
Aliens of the Deep,Aliens of the Deep,"Jan 28, 2005",Walt Disney,Documentary
Proof,Proof,"Sep 16, 2005",Miramax,Drama
Encounter in the Third Dime…,Encounter in the Thi,"Feb 26, 1999",nWave Pictures,Documentary
House of Flying Daggers,House of Flying Dagg,"Dec 3, 2004",Sony Pictures Cla…,Action
Ladies in Lavender,Ladies in Lavender,"Apr 29, 2005",IDP/Goldwyn/Roadside,Drama
Wild Safari 3D,Wild Safari 3D,"Apr 8, 2005",nWave Pictures,Documentary
Bride & Prejudice,Bride & Prejudice,"Feb 11, 2005",Miramax,Musical
Millions,Millions,"Mar 11, 2005",Fox Searchlight,Comedy
The Aristocrats,The Aristocrats,"Jul 29, 2005",ThinkFilm,Documentary
The Jacket,The Jacket,"Mar 4, 2005",Warner Independent,Thriller/Suspense
Beyond the Sea,Beyond the Sea,"Dec 17, 2004",Lionsgate,Drama
Magnificent Desolation,Magnificent Desolati,"Sep 23, 2005",IMAX Films,Documentary
Underclassman,Underclassman,"Sep 2, 2005",Miramax,Comedy
Downfall,Downfall,"Feb 18, 2005",Newmarket Films,Drama
The Squid and the Whale,The Squid and the Wh,"Oct 5, 2005",IDP/Goldwyn/Roadside,Drama
Alone in the Dark,Alone in the Dark,"Jan 28, 2005",Lionsgate,Horror
Birth,Birth,"Oct 29, 2004",New Line,Drama
Alien Adventure,Alien Adventure,"Apr 14, 2000",nWave Pictures,Comedy
Howl's Moving Castle,Howl's Moving Castle,"Jun 10, 2005",Walt Disney,Adventure
Ong-Bak,Ong-Bak,"Feb 11, 2005",Magnolia Pictures,Action
Mindhunters,Mindhunters,"May 13, 2005",Miramax/Dimension,Thriller/Suspense
"Kiss Kiss, Bang Bang","Kiss Kiss, Bang Bang","Oct 21, 2005",Warner Bros.,Comedy
Enron: The Smartest Guys in…,Enron: The Smartest ,"Apr 22, 2005",Magnolia Pictures,Documentary
King's Ransom,King's Ransom,"Apr 22, 2005",New Line,Black Comedy
Me and You and Everyone We …,Me and You and Every,"Jun 17, 2005",IFC Films,Comedy
Melinda and Melinda,Melinda and Melinda,"Mar 18, 2005",Fox Searchlight,Comedy
Ray,Ray,"Oct 29, 2004",Universal,Drama
High Tension,High Tension,"Jun 10, 2005",Lionsgate,Horror
The Merchant of Venice,The Merchant of Veni,"Dec 29, 2004",Sony Pictures Cla…,Drama
Stay,Stay,"Oct 21, 2005",20th Century Fox,Thriller/Suspense
SpongeBob SquarePants,SpongeBob SquarePant,"Nov 19, 2004",Paramount Pictures,Adventure
A Very Long Engagement,A Very Long Engageme,"Nov 26, 2004",Warner Bros.,Drama
Kinsey,Kinsey,"Nov 12, 2004",Fox Searchlight,Drama
Bad Education,Bad Education,"Nov 19, 2004",Sony Pictures Cla…,Drama
Born Into Brothels: Calcutt…,Born Into Brothels: ,"Dec 8, 2004",ThinkFilm,Documentary
Rize,Rize,"Jun 24, 2005",Lionsgate,Documentary
Grizzly Man,Grizzly Man,"Aug 12, 2005",Lionsgate,Documentary
Supercross,Supercross,"Aug 17, 2005",20th Century Fox,Action
The Wild Parrots of Telegra…,The Wild Parrots of ,"Feb 11, 2005",Shadow,Documentary
G,G,"Sep 16, 2005",Aloha Releasing,Drama
Bugs!,Bugs!,"Mar 14, 2003",SK Films,Documentary
Walk on Water,Walk on Water,"Feb 25, 2005",Samuel Goldwyn Films,Drama
T-Rex: Back to the Cretaceous,T-Rex: Back to the C,"Oct 23, 1998",IMAX Films,Adventure
Junebug,Junebug,"Aug 3, 2005",Sony Pictures Cla…,Drama
Layer Cake,Layer Cake,"May 13, 2005",Sony Pictures Cla…,Thriller/Suspense
Haunted Castle,Haunted Castle,"Mar 2, 2001",nWave Pictures,Horror
The Work and the Glory,The Work and the Glo,"Nov 24, 2004",,Drama
Pulse: A Stomp Odyssey,Pulse: A Stomp Odyss,"Oct 11, 2002",Giant Screen Films,Documentary
Oliver Twist,Oliver Twist,"Sep 23, 2005",Sony/TriStar,Drama
NASCAR: The IMAX Experience,NASCAR: The IMAX Exp,"Mar 12, 2004",Warner Bros.,Documentary
The Sea Inside,The Sea Inside,"Dec 17, 2004",Fine Line,Drama
The Work and the Glory: Ame…,The Work and the Glo,"Oct 21, 2005",Vineyard Distribu…,Drama
A Sound of Thunder,A Sound of Thunder,"Sep 2, 2005",Warner Bros.,Action
The Chorus,The Chorus,"Nov 26, 2004",Miramax,Drama
Look at Me,Look at Me,"Apr 1, 2005",Sony Pictures Cla…,Drama
Everything is Illuminated,Everything is Illumi,"Sep 16, 2005",Warner Independent,Drama
El Vacilón: The Movie,El Vacilón: The Movi,"Oct 21, 2005",Freestyle Releasing,Comedy
State Property 2,State Property 2,"Apr 13, 2005",Lionsgate,Action
Vera Drake,Vera Drake,"Oct 10, 2004",Fine Line,Drama
Murderball,Murderball,"Jul 8, 2005",ThinkFilm,Documentary
2046,2046,"Aug 5, 2005",Sony Pictures Cla…,Drama
Salaam Namaste,Salaam Namaste,"Sep 9, 2005",Yash Raj Films,Comedy
Paheli (Puzzle),Paheli (Puzzle),"Jun 24, 2005",Eros Entertainment,Drama
The Woodsman,The Woodsman,"Dec 24, 2004",Newmarket Films,Drama
Ushpizin,Ushpizin,"Oct 19, 2005",Picturehouse,Drama
Dear Frankie,Dear Frankie,"Mar 4, 2005",Miramax,Drama
Thumbsucker,Thumbsucker,"Sep 16, 2005",Sony Pictures Cla…,Comedy
Happy Endings,Happy Endings,"Jul 15, 2005",Lionsgate,Drama
Off the Map,Off the Map,"Mar 11, 2005",Holedigger Studios,Drama
Indigo,Indigo,"Jan 28, 2005",Embassy,Drama
Saving Face,Saving Face,"May 27, 2005",Sony Pictures Cla…,Comedy
Heights,Heights,"Jun 17, 2005",Sony Pictures Cla…,Drama
Bee Season,Bee Season,"Nov 11, 2005",Fox Searchlight,Drama
Sarah Silverman: Jesus is M…,Sarah Silverman: Jes,"Nov 11, 2005",IDP/Goldwyn/Roadside,Concert/Perfor…
Paper Clips,Paper Clips,"Nov 24, 2004",Slowhand Cinema,Documentary
Undiscovered,Undiscovered,"Aug 26, 2005",Lionsgate,Romantic Comedy
Paradise Now,Paradise Now,"Oct 28, 2005",Warner Independent,Drama
The Motorcycle Diaries,The Motorcycle Diari,"Sep 24, 2004",Focus Features,Drama
The Beat My Heart Skipped,The Beat My Heart Sk,"Jul 1, 2005",WellSpring,Drama
My Summer of Love,My Summer of Love,"Jun 17, 2005",Focus Features,Drama
The Rising,The Rising,"Aug 12, 2005",Yash Raj Films,Drama
Bunty Aur Babli,Bunty Aur Babli,"May 27, 2005",Yash Raj Films,Adventure
Separate Lies,Separate Lies,"Sep 16, 2005",Fox Searchlight,Drama
Casanova,Casanova,"Dec 25, 2005",Walt Disney,Drama
Venom,Venom,"Sep 16, 2005",Miramax/Dimension,Horror
Where the Truth Lies,Where the Truth Lies,"Oct 14, 2005",ThinkFilm,Drama
MirrorMask,MirrorMask,"Sep 30, 2005",Samuel Goldwyn Films,Drama
Duma,Duma,"Sep 30, 2005",Warner Bros.,Adventure
Therese,Therese,"Oct 1, 2004",Luke Films,Drama
What the #$'! Do We Know,What the #$'! Do We ,"Feb 6, 2004",Captured Light,Documentary
Innocent Voices,Innocent Voices,"Oct 14, 2005",BB Entertainment,Drama
After You,After You,"Jun 3, 2005",Paramount Vantage,Comedy
The Thing About My Folks,The Thing About My F,"Sep 16, 2005",Picturehouse,Comedy
WAQT,WAQT,"Apr 22, 2005",Eros Entertainment,Drama
Parineeta,Parineeta,"Jun 10, 2005",UTV Communications,Drama
Saint Ralph,Saint Ralph,"Aug 5, 2005",Samuel Goldwyn Films,Comedy
Black,Black,"Feb 4, 2005",Yash Raj Films,Drama
First Descent,First Descent,"Dec 2, 2005",Universal,Documentary
Shall We Dance?,Shall We Dance?,"Oct 15, 2004",Miramax,Romantic Comedy
Mysterious Skin,Mysterious Skin,"May 6, 2005",Tartan Films,Drama
The Ballad of Jack and Rose,The Ballad of Jack a,"Mar 25, 2005",IFC Films,Drama
The Assassination of Richar…,The Assassination of,"Dec 29, 2004",ThinkFilm,Drama
Oldboy,Oldboy,"Mar 25, 2005",Tartan Films,Thriller/Suspense
Inside Deep Throat,Inside Deep Throat,"Feb 11, 2005",Universal,Documentary
Nobody Knows,Nobody Knows,"Feb 4, 2005",IFC Films,Drama
No Entry,No Entry,"Aug 26, 2005",Eros Entertainment,Comedy
Ladder 49,Ladder 49,"Oct 1, 2004",Walt Disney,Thriller/Suspense
Balzac and the Little Chine…,Balzac and the Littl,"Jul 29, 2005",Empire Pictures,Drama
Shark Tale,Shark Tale,"Oct 1, 2004",Dreamworks SKG,Adventure
Saraband,Saraband,"Jul 8, 2005",Sony Pictures Cla…,Drama
Dust to Glory,Dust to Glory,"Apr 1, 2005",IFC Films,Documentary
The Prize Winner of Defianc…,The Prize Winner of ,"Sep 30, 2005",Dreamworks SKG,Drama
Gunner Palace,Gunner Palace,"Mar 4, 2005",Palm Pictures,Documentary
Match Point,Match Point,"Dec 28, 2005",Dreamworks SKG,Thriller/Suspense
Schultze Gets the Blues,Schultze Gets the Bl,"Feb 18, 2005",Paramount Vantage,Comedy
Bluff Master,Bluff Master,"Dec 16, 2005",UTV Communications,Comedy
Palindromes,Palindromes,"Apr 13, 2005",WellSpring,Drama
Kids in America,Kids in America,"Oct 21, 2005",Slowhand Cinema,Drama
Madison,Madison,"Apr 22, 2005",MGM,Drama
The Passenger,The Passenger,"Apr 9, 1975",Sony Pictures Cla…,Drama
The Passion of the Christ,The Passion of the C,"Mar 11, 2005",Newmarket Films,Drama
Travellers and Magicians,Travellers and Magic,"Jan 7, 2005",Zeitgeist,Drama
Bewafaa,Bewafaa,"Feb 25, 2005",Eros Entertainment,Drama
Steamboy,Steamboy,"Mar 18, 2005",Sony Pictures,Action
Last Days (2005),Last Days (2005),"Jul 22, 2005",Picturehouse,Drama
Lucky,Lucky,"Apr 8, 2005",Eros Entertainment,Musical
Ballets Russes,Ballets Russes,"Oct 28, 2005",Zeitgeist,Documentary
Callas Forever,Callas Forever,"Nov 5, 2004",Regent Releasing,Drama
The Beautiful Country,The Beautiful Countr,"Jul 8, 2005",Sony Pictures Cla…,Drama
Gegen die Wand (Head-On),Gegen die Wand (Head,"Jan 21, 2005",Strand Releasing,Drama
Mrs. Henderson Presents,Mrs. Henderson Prese,"Dec 9, 2005",Weinstein Co.,Comedy
El Crimen Perfecto,El Crimen Perfecto,"Aug 19, 2005",Vitagraph Films,Black Comedy
Mobsters and Mormons,Mobsters and Mormons,"Sep 9, 2005",Halestorm Enterta…,Comedy
Yes,Yes,"Jun 24, 2005",Sony Pictures Cla…,Drama
A Wake in Providence,A Wake in Providence,"Apr 15, 2005",Indican Pictures,Comedy
House of D,House of D,"Apr 15, 2005",Lionsgate,Drama
Little Manhattan,Little Manhattan,"Sep 30, 2005",20th Century Fox,Romantic Comedy
Brothers,Brothers,"May 6, 2005",IFC Films,Drama
The Game of Their Lives,The Game of Their Li,"Apr 22, 2005",IFC Films,Drama
Asylum,Asylum,"Aug 12, 2005",Paramount Vantage,Thriller/Suspense
Breakfast on Pluto,Breakfast on Pluto,"Nov 16, 2005",Sony Pictures Cla…,Drama
Nine Lives,Nine Lives,"Oct 14, 2005",Magnolia Pictures,Drama
Enduring Love,Enduring Love,"Oct 29, 2004",Paramount Vantage,Thriller/Suspense
Deewane Huye Paagal,Deewane Huye Paagal,"Nov 24, 2005",UTV Communications,Romantic Comedy
Green Street Hooligans,Green Street Hooliga,"Sep 9, 2005",Freestyle Releasing,Drama
In the Realms of the Unreal,In the Realms of the,"Dec 24, 2004",WellSpring,Documentary
Kaal,Kaal,"Apr 29, 2005",Yash Raj Films,Drama
Shaadi No. 1,Shaadi No. 1,"Nov 3, 2005",Eros Entertainment,Comedy
De Zaak Alzheimer,De Zaak Alzheimer,"Aug 26, 2005",Sony Pictures Cla…,Action
The Dying Gaul,The Dying Gaul,"Nov 4, 2005",Holedigger Studios,Drama
Viruddh,Viruddh,"Jul 22, 2005",UTV Communications,Drama
Winter Solstice,Winter Solstice,"Apr 8, 2005",Paramount Vantage,Drama
Short Cut to Nirvana: Kumbh…,Short Cut to Nirvana,"Oct 22, 2004",Mela Films,Documentary
Dot the I,Dot the I,"Mar 11, 2005",Freestyle Releasing,Thriller/Suspense
Pretty Persuasion,Pretty Persuasion,"Aug 12, 2005",Samuel Goldwyn Films,Comedy
The Holy Girl,The Holy Girl,"Apr 29, 2005",Fine Line,Drama
Secuestro Express,Secuestro Express,"Aug 5, 2005",Miramax,Action
Cronicas,Cronicas,"Jul 8, 2005",Palm Pictures,Drama
Caterina in the Big City,Caterina in the Big ,"Jun 3, 2005",Empire Pictures,Drama
Kings and Queens,Kings and Queens,"May 13, 2005",WellSpring,Drama
The Best of Youth,The Best of Youth,"Mar 2, 2005",Miramax,Drama
Elevator to the Gallows,Elevator to the Gall,"Jun 10, 1961",Rialto Pictures,Drama
Turtles Can Fly,Turtles Can Fly,"Feb 18, 2005",IFC Films,Drama
...And They Lived Happily E…,...And They Lived Ha,"Apr 8, 2005",Kino International,Drama
Dominion: Prequel to the Ex…,Dominion: Prequel to,"May 20, 2005",Warner Bros.,Horror
A Tout de Suite,A Tout de Suite,"Apr 29, 2005",Cinema Guild,Drama
Taxi,Taxi,"Oct 6, 2004",20th Century Fox,Action
Watermarks,Watermarks,"Jan 21, 2005",Kino International,Documentary
Up & Down,Up & Down,"Feb 25, 2005",Sony Pictures Cla…,Comedy
Far Side of the Moon,Far Side of the Moon,"Dec 2, 2005",TLA Releasing,Drama
3-Iron,3-Iron,"Apr 29, 2005",Sony Pictures Cla…,Drama
Nina's Tragedies,Nina's Tragedies,"Mar 25, 2005",WellSpring,Comedy
Kontroll,Kontroll,"Apr 1, 2005",ThinkFilm,Thriller/Suspense
Down and Derby,Down and Derby,"Apr 15, 2005",Freestyle Releasing,Comedy
