link,Running Time,Genre,Production Method,Creative Type,Production/Financing Companies,Production Countries,Languages,Release Date,MPAA Rating,Production Budget,Franchise
https://www.the-numbers.com/movie/Paw-Patrol-Mighty-Pups-The-Movie-(Canada)-(2018)#tab=summary,64 minutes,Adventure,Digital Animation,Kids Fiction,,Canada,English,"October 05, 2018",,,
https://www.the-numbers.com/movie/Mokgyeokja-(S-Korea)#tab=summary,111 minutes,Thriller/Suspense,Live Action,Contemporary Fiction,,Republic of Korea,Korean,"August 15, 2018",,,
https://www.the-numbers.com/movie/Leisure-Seeker-The-(Italy)#tab=summary,112 minutes,Drama,Live Action,Contemporary Fiction,"Indiana Production Company,RAI Cinema,Motorino Amaranto,3 Marys Entertainment S.R.I.","Italy,France",English,"January 05, 2018","Rfor some sexual material.(Rating bulletin 2481 (Cert #51041), 6/21/2017)",,
https://www.the-numbers.com/movie/Oolong-Courtyard-Kung-Fu-School-(China)-(2018)#tab=summary,103 minutes,Comedy,Live Action,Contemporary Fiction,,China,Mandarin,"August 17, 2018",Not Rated,,
https://www.the-numbers.com/movie/Duck-Duck-Goose#tab=summary,82 minutes,Adventure,Digital Animation,Kids Fiction,Original Force Animation,United States,English,"February 24, 2018","PGfor rude humor and mild action/peril.(Rating bulletin 2489 (Cert #51098), 8/16/2017)",,
https://www.the-numbers.com/movie/Joseon-Myungtamjung-Heubhyeolgwimaui-Bimil-(South-Korea)#tab=summary,120 minutes,Comedy,Live Action,Contemporary Fiction,,Republic of Korea,Korean,"January 29, 2018",Not Rated,,Detective K
https://www.the-numbers.com/movie/Tian-Qi-Yu-Bao-(China)(2018)#tab=summary,105 minutes,Adventure,Live Action,,,China,Mandarin,"December 21, 2018",Not Rated,,
https://www.the-numbers.com/movie/Hell-Fest-(2018)#tab=summary,89 minutes,Horror,Live Action,Contemporary Fiction,"Valhalla Motion Pictures,CBS Films,Tucker Tooley",United States,English,"September 27, 2018","Rfor horror violence, and language including some sexual references.(Rating bulletin 2543 (Cert #51747), 9/5/2018)","$5,500,000",
https://www.the-numbers.com/movie/Sorry-to-Bother-You-(2018)#tab=summary,105 minutes,Black Comedy,Live Action,Science Fiction,"Significant Productions,MNM Creative,Macro Media,Cinereach Films",United States,English,"July 06, 2018","Rfor pervasive language, some strong sexual content, graphic nudity, and drug use(Rating bulletin 2528 (Cert #51561), 5/23/2018)","$3,200,000",
https://www.the-numbers.com/movie/Chappaquiddick#tab=summary,101 minutes,Drama,Live Action,Dramatization,"Apex Entertianment,DMG Entertainment,Entertainment Motion Pictures",United States,English,"April 06, 2018","PG-13for thematic material, disturbing images, some strong language, and historical smoking.(Rating bulletin 2492 (Cert #51224), 9/6/2017)",,
https://www.the-numbers.com/movie/Belle-et-Sebastien-3-le-dernier-chapitre-(France)#tab=summary,97 minutes,Adventure,Digital Animation,Kids Fiction,,France,French,"February 16, 2018",,,Belle et Sebastien
https://www.the-numbers.com/movie/Todos-lo-saben-(Spain)-(2018)#tab=summary,132 minutes,Drama,Live Action,Contemporary Fiction,"Focus Features,Memento Films Distribution,Memento Films,Morena Films,Lucky Red,France 3 Cinema,Untitled Films,RAI Cinema,Instituto de la Cinematographia y Artes Audiovisuales,Canal Plus,France Television,Cine Plus,Movistar Plus",Spain,Spanish,"May 09, 2018","Rfor some language.(Rating bulletin 2546 (Cert #51718), 9/26/2016)",,
https://www.the-numbers.com/movie/Operation-Finale-(2018)#tab=summary,118 minutes,Drama,Live Action,Dramatization,Automatik,United States,"English,Spanish","August 29, 2018","PG-13for disturbing thematic content and related violent images, and for some language.(Rating bulletin 2530 (Cert #51630), 6/6/2018)","$20,000,000",
https://www.the-numbers.com/movie/Finding-Your-Feet#tab=summary,111 minutes,Comedy,Live Action,Contemporary Fiction,"Eclipse Films,Powder Keg Pictures,Catalyst Global Media,Fred Films,Bob & Co,Twickenham Studios,Ultimate Pictures","United Kingdom,Canada,Australia,United States",English,"February 23, 2018","PG-13for suggestive material, brief drug use, and brief strong language.(Rating bulletin 2514 (Cert #51465), 2/14/2018)","$7,000,000",
https://www.the-numbers.com/movie/Beautiful-Boy-(2018)#tab=summary,112 minutes,Drama,Live Action,Contemporary Fiction,"Plan B Entertainment,Amazon Studios",United States,English,"October 12, 2018","Rfor drug content throughout, language, and brief sexual material.(Rating bulletin 2519 (Cert #51526), 3/21/2018)","$25,000,000",
https://www.the-numbers.com/movie/21-Ke-La-(China)-(2018)#tab=summary,90 minutes,Romantic Comedy,Live Action,Contemporary Fiction,,China,Mandarin,"April 20, 2018",,,
https://www.the-numbers.com/movie/Upgrade#tab=summary,95 minutes,Thriller/Suspense,Live Action,Science Fiction,"Goalpost Pictures,Automatik,BH Tilt,Nervous Tick,Blumhouse",Australia,English,"June 01, 2018","Rfor strong violence, grisly images, and language.(Rating bulletin 2517 (Cert #51463), 3/7/2018)","$3,000,000",
https://www.the-numbers.com/movie/Old-Man-and-the-Gun-The-(2018)#tab=summary,93 minutes,Comedy,Live Action,Dramatization,"Endgame Entertainment,Conde Nast,Wildwood Enterprises,Identity Films,Sailor Bear,Fox Searchlight Pictures",United States,English,"September 28, 2018","PG-13for brief strong language.(Rating bulletin 2510 (Cert #51414), 1/17/2018)","$15,800,000",
https://www.the-numbers.com/movie/Sumaho-o-otoshita-dake-na-no-ni-(Japan)-(2018)#tab=summary,116 minutes,Thriller/Suspense,Live Action,Contemporary Fiction,,Japan,Japanese,"November 02, 2018",,,Stolen Identity
https://www.the-numbers.com/movie/102-Not-Out-(India)#tab=summary,101 minutes,Comedy,Live Action,Contemporary Fiction,"SPE Films India,Treetop Productions",India,Hindi,"May 03, 2018","PGfor some thematic material.(Rating bulletin 2522 (Cert #51554), 4/11/2018)",,
https://www.the-numbers.com/movie/Escape-Plan-2-Hades-(2018)#tab=summary,,Thriller/Suspense,Live Action,Contemporary Fiction,"Emmett Furla Oasis Films,Grindstone Entertainment Group,Leomus Pictures,Lionsgate","China,United States",English,"June 22, 2018","Rfor violence and language.(Rating bulletin 2522 (Cert #51534), 4/11/2018)",,Escape Plan
https://www.the-numbers.com/movie/Feng-Yu-Zhou-(China)-(2018)#tab=summary,105 minutes,Adventure,Digital Animation,Fantasy,,China,,"July 22, 2018",,,
https://www.the-numbers.com/movie/Arif-v-216-(Turkey)#tab=summary,125 minutes,Comedy,Live Action,Science Fiction,,Turkey,Turkish,"January 05, 2018",,,
https://www.the-numbers.com/movie/Forever-My-Girl-(2017)#tab=summary,104 minutes,Drama,Live Action,Contemporary Fiction,"LD Entertainment,Liddell Entertainment",United States,English,"January 19, 2018","PGfor thematic elements including drinking, and language.(Rating bulletin 2471 (Cert #50737), 4/12/2017)","$3,500,000",
https://www.the-numbers.com/movie/Burn-the-Stage-The-Movie-(2018-South-Korea)#tab=summary,84 minutes,Documentary,Live Action,Factual,,Republic of Korea,Korean,"November 15, 2018",,,
https://www.the-numbers.com/movie/Tully-(2018)#tab=summary,94 minutes,Comedy,Live Action,Contemporary Fiction,"Bron Studios,Right of Way Films,Denver & Delilah Films,Focus Features,West Egg,Creative Wealth Media Finance",United States,English,"May 04, 2018","Rfor language and some sexuality/nudity.(Rating bulletin 2495 (Cert #50982), 9/27/2017)",,
https://www.the-numbers.com/movie/Colette-(2018)#tab=summary,111 minutes,Drama,Live Action,Dramatization,"Number 9 Films,Killer Films,Bold Films,Bleecker Street,30 West,BFI","United States,United Kingdom,Hungary",English,"September 21, 2018","Rfor some sexuality/nudity.(Rating bulletin 2540 (Cert #51757), 8/15/2018)",,
https://www.the-numbers.com/movie/Myeong-Dang-(S-korea)(2018)#tab=summary,126 minutes,Drama,Live Action,Historical Fiction,,Republic of Korea,Korean,"September 19, 2018",,,
https://www.the-numbers.com/movie/Hyeobsang-(S-KOrea)(2018)#tab=summary,114 minutes,Drama,Live Action,Contemporary Fiction,,Republic of Korea,Korean,"September 19, 2018",Not Rated,,
https://www.the-numbers.com/movie/Soratobu-taiya-(Japan)-(2018)#tab=summary,120 minutes,Drama,Live Action,Contemporary Fiction,,Japan,Japanese,"June 15, 2018",,,
https://www.the-numbers.com/movie/Blood-Soaked-GuangChang-(China)#tab=summary,,Action,Live Action,,,China,,"July 24, 2018",,,
https://www.the-numbers.com/movie/Sisters-Brothers-The-(2018)#tab=summary,121 minutes,Western,Live Action,Historical Fiction,"Annapurna Pictures,Top Drawer Entertainment","United States,France,Romania,Spain",English,"September 21, 2018","Rfor violence including disturbing images, language, and some sexual content.(Rating bulletin 2537 (Cert #51673), 7/25/2018)","$38,000,000",
https://www.the-numbers.com/movie/Mayakwang-(South-Korea)-(2018)#tab=summary,139 minutes,Action,Live Action,Historical Fiction,,Republic of Korea,Korean,"December 19, 2018",Not Rated,,
https://www.the-numbers.com/movie/RBG-(Documentary)-(2018)#tab=summary,97 minutes,Documentary,Live Action,Factual,"CNN Films,BBC Storyville,Julia Child Foundation for Gastronomy and the Culinary Arts,Imagine Documentaries",United States,English,"May 04, 2018","PGfor some thematic elements and language.(Rating bulletin 2516 (Cert #51494), 2/28/2018)",,
https://www.the-numbers.com/movie/Eighth-Grade-(2018)#tab=summary,93 minutes,Drama,Live Action,Contemporary Fiction,A24,United States,English,"July 13, 2018","Rfor language and some sexual material.(Rating bulletin 2533 (Cert #51362), 6/27/2018)","$2,000,000",
https://www.the-numbers.com/movie/Unsane#tab=summary,98 minutes,Thriller/Suspense,Live Action,Contemporary Fiction,"Extension 765,New Regency,Regency Enterprises",United States,English,"March 22, 2018","Rfor disturbing behavior, violence, language, and sex references.(Rating bulletin 2508 (Cert #51299), 1/3/2018)","$1,500,000",
https://www.the-numbers.com/movie/Io-sono-Tempesta-(Italy)-(2018)#tab=summary,97 minutes,Documentary,Live Action,Contemporary Fiction,,Italy,Italian,"April 12, 2018",Not Rated,,
https://www.the-numbers.com/movie/Three-Identical-Strangers-(2018)#tab=summary,96 minutes,Documentary,Live Action,Factual,"Neon Films,CNN Films,RAW,Channel 4",United Kingdom,English,"June 29, 2018","PG-13for some mature thematic material.(Rating bulletin 2520 (Cert #51533), 3/28/2018)",,
https://www.the-numbers.com/movie/Animal-Crackers#tab=summary,94 minutes,Adventure,Digital Animation,Kids Fiction,"Blue Dream Studios,Storyoscopic Films","United States,China,Republic of Korea,Australia",English,"July 15, 2018","PGfor rude humor and action.(Rating bulletin 2772 (cert #54298), 3/1/2023)","$17,000,000",
https://www.the-numbers.com/movie/Trener-(Russia)-(2018)#tab=summary,138 minutes,Drama,Live Action,Contemporary Fiction,,Russian Federation,Russian,"April 19, 2018",,"$6,250,000",
https://www.the-numbers.com/movie/Jeu-Le-(France)(2018)#tab=summary,90 minutes,Comedy,Live Action,Contemporary Fiction,,"France,Belgium",French,"October 19, 2018",,,
https://www.the-numbers.com/movie/Kobiety-Mafii-(Poland)#tab=summary,138 minutes,Action,Live Action,Contemporary Fiction,,Poland,Polish,"February 23, 2018",,,Women of the Mafia
https://www.the-numbers.com/movie/Welcome-to-Marwen-(2018)#tab=summary,116 minutes,Drama,Animation/Live Action,Dramatization,"Universal Pictures,ImageMovers,DreamWorks Pictures,Perfect World Pictures",United States,English,"December 21, 2018","PG-13for sequences of fantasy violence, some disturbing images, brief suggestive content, thematic material and language.(Rating bulletin 2546 (Cert #51832), 9/26/2018)","$45,000,000",
https://www.the-numbers.com/movie/Kleine-Hexe-Die-(Germany)#tab=summary,103 minutes,Adventure,Digital Animation,Kids Fiction,,"Germany,Switzerland",German,"February 01, 2018",,,
https://www.the-numbers.com/movie/Every-Day-(2018)#tab=summary,95 minutes,Drama,Live Action,Contemporary Fiction,"Likely Story,Filmwave,Orion Pictures,Silver Reel Entertainment",United States,English,"February 23, 2018","PG-13for thematic content, language, teen drinking, and suggestive material.(Rating bulletin 2503 (Cert #51342), 11/22/2017)","$4,900,000",
https://www.the-numbers.com/movie/Ben-is-Back-(2018)#tab=summary,103 minutes,Drama,Live Action,Contemporary Fiction,"Black Bear,30 West,Color Force,LD Entertainment,Roadside Attractions",United States,English,"December 07, 2018","Rfor language throughout and some drug use.(Rating bulletin 2549 (Cert #51863), 10/17/2018)","$13,000,000",
https://www.the-numbers.com/movie/Jim-Knopf-und-Lukas-der-Lokomotivfuhrer-(Germany)#tab=summary,,Adventure,Animation/Live Action,Fantasy,,Germany,"English,German","March 30, 2018",,,
https://www.the-numbers.com/movie/Red-Joan-(UK)-(2018)#tab=summary,110 minutes,Drama,Live Action,Dramatization,"Quickfire Films,Embankment Films,Twickenham Studios,Trademark Films,Cambridge Pictures Co.",United Kingdom,English,"October 26, 2018","Rfor brief sexuality/nudity.(Rating bulletin 2567 (Cert #52076), 2/27/2019)",,
https://www.the-numbers.com/movie/Can-You-Ever-Forgive-Me-(2018)#tab=summary,106 minutes,Drama,Live Action,Dramatization,"Fox Searchlight Pictures,Archer Gray Productions",United States,English,"October 19, 2018","Rfor language including some sexual references, and brief drug use.(Rating bulletin 2491 (Cert #51219), 8/30/2017)","$10,000,000",
https://www.the-numbers.com/movie/PMC-deo-beong-keo-(South-Korea)-(2018)#tab=summary,119 minutes,Action,Live Action,Contemporary Fiction,"Perfect Storm Entertainment,CJ Entertainment",Republic of Korea,"Korean,English","December 26, 2018",Not Rated,"$10,300,000",
https://www.the-numbers.com/movie/Kamen-Raida-Heisei-Jenereshonzu-Foeba-(Japan)-(2018)#tab=summary,100 minutes,Action,Live Action,,,Japan,Japanese,"December 22, 2018",,,
https://www.the-numbers.com/movie/Crystal-Sky-Of-Yesterday-(China)-(2018)#tab=summary,82 minutes,Drama,Digital Animation,Contemporary Fiction,,China,Mandarin,"July 27, 2018",,,
https://www.the-numbers.com/movie/Jiang-hu-er-nv-(China)-(2018)#tab=summary,141 minutes,Drama,Live Action,Contemporary Fiction,"Shanghai Film Group,Xstream Pictures,Huanxi Media Group Limited,MK Productions,ARTE France,Arte France Cinema,Beijing Runjin Investment,Wishart Media Co,Enchant Film and Television Culture Co","China,France",Mandarin,"September 21, 2018",Not Rated,,
https://www.the-numbers.com/movie/Changgwol-(South-Korea)-(2018)#tab=summary,127 minutes,Horror,Live Action,Contemporary Fiction,,Republic of Korea,Korean,"October 25, 2018",Not Rated,,
https://www.the-numbers.com/movie/Sungnan-Hwangso-(South-Korea)-(2018)#tab=summary,115 minutes,Action,Live Action,Contemporary Fiction,,Republic of Korea,Korean,"November 16, 2018",Not Rated,,
https://www.the-numbers.com/movie/Boy-Erased-(2018)#tab=summary,114 minutes,Drama,Live Action,Contemporary Fiction,"Anonymous Content,Focus Features,Perfect World Pictures,Blue Tongue Films",United States,English,"November 02, 2018","Rfor sexual content including an assault, some language and brief drug use.(Rating bulletin 2547 (Cert #51398), 10/3/2018)","$11,000,000",
https://www.the-numbers.com/movie/Ni-Hao-Zhi-Hua-(China)-(2018)#tab=summary,115 minutes,,Live Action,,Rockwell Eyes,China,Mandarin,"November 09, 2018",Not Rated,,
https://www.the-numbers.com/movie/A-Casa-Tutti-Bene-(Italy)#tab=summary,,Comedy,Live Action,Contemporary Fiction,,Italy,Italian,"February 14, 2018",,,
https://www.the-numbers.com/movie/Cakallarla-Dans-5-(Turkey)-(2018)#tab=summary,102 minutes,Comedy,Live Action,Contemporary Fiction,,Turkey,Turkish,"November 08, 2018",,,
https://www.the-numbers.com/movie/Wu-Lin-Guai-Shou-(Hong-Kong)(2018)#tab=summary,104 minutes,Action,Live Action,Fantasy,,"Hong Kong,China","Mandarin,Cantonese","December 21, 2018",,,
https://www.the-numbers.com/movie/Yolki-Posledniye-(Russia)(2018)#tab=summary,96 minutes,Comedy,Live Action,Contemporary Fiction,,Russian Federation,Russian,"December 27, 2018",,,Yolki
https://www.the-numbers.com/movie/Adventure-of-Afanti-The-(China)(2018)#tab=summary,85 minutes,Comedy,Digital Animation,Kids Fiction,,China,Mandarin,"October 01, 2018",,,
https://www.the-numbers.com/movie/Luis-Und-Die-Aliens-(Germany)#tab=summary,82 minutes,Adventure,Digital Animation,Kids Fiction,,"Germany,Luxembourg,Denmark",German,"April 06, 2018","PGfor some rude humor and action.(Rating bulletin 2528 (Cert #51606), 5/23/2018)",,
https://www.the-numbers.com/movie/Thaanaa-Serndha-Koottam-(India)#tab=summary,138 minutes,Action,Live Action,Contemporary Fiction,,India,"Telugu,Tamil","January 12, 2018",,,
https://www.the-numbers.com/movie/Doeorak-(S-Korea)(2018)#tab=summary,102 minutes,Thriller/Suspense,Live Action,Contemporary Fiction,,Republic of Korea,Korean,"December 05, 2018",,,
https://www.the-numbers.com/movie/50-First-Kisses-(2018-Japan)#tab=summary,114 minutes,Romantic Comedy,Live Action,Contemporary Fiction,,Japan,Japanese,"June 01, 2018",,,
https://www.the-numbers.com/movie/Agnyaathavaasi-(India)#tab=summary,158 minutes,Action,Live Action,Contemporary Fiction,,India,Telugu,"January 10, 2018",,,
https://www.the-numbers.com/movie/Boda-de-Valentina-La-(Mexico)#tab=summary,107 minutes,Romantic Comedy,Live Action,Contemporary Fiction,,Mexico,Spanish,"February 09, 2018","Rfor language.(Rating bulletin 2512 (Cert #51418), 1/31/2018)",,
https://www.the-numbers.com/movie/Ya-Khudeyu-(Russia)-(2018)#tab=summary,102 minutes,Comedy,Live Action,Contemporary Fiction,,Russian Federation,Russian,"March 08, 2018",,,
https://www.the-numbers.com/movie/Gnome-Alone-(Canada-2017)#tab=summary,89 minutes,Adventure,Digital Animation,Kids Fiction,"Vanguard Animation,3QU Media,Cinesite","Canada,United States",English,"January 05, 2018","PGfor some rude humor/behavior.(Rating bulletin 2481 (Cert #51113), 6/21/2017)",,
https://www.the-numbers.com/movie/Seuwingkizeu-(South-Korea)-(2018)#tab=summary,133 minutes,Drama,Live Action,Historical Fiction,"Next Entertainment,Annapurna Films",Republic of Korea,Korean,"December 19, 2018",Not Rated,,
https://www.the-numbers.com/movie/At-Eternitys-Gate-(2018)#tab=summary,111 minutes,Drama,Live Action,Dramatization,"CBS Films,Iconoclast Films,Rahway Road,Riverstone Pictures,SPK Pictures","United Kingdom,France,United States","English,French","November 16, 2018","PG-13for some thematic content.(Rating bulletin 2545 (Cert #51749), 9/19/2018)",,
https://www.the-numbers.com/movie/Golden-Slumber-(S-Korea)#tab=summary,108 minutes,Thriller/Suspense,Live Action,Contemporary Fiction,"Zip Cinema,CJ Entertainment",Republic of Korea,Korean,"February 09, 2018",Not Rated,,
https://www.the-numbers.com/movie/Xie-Mi-Xing-Zhe-(China)-(2018)#tab=summary,90 minutes,Thriller/Suspense,Live Action,Contemporary Fiction,,"China,Hong Kong",Mandarin,"June 08, 2018",,,
https://www.the-numbers.com/movie/Benedetta-Follia-(Italy)-(2018)#tab=summary,109 minutes,Comedy,Live Action,Contemporary Fiction,,Italy,Italian,"January 11, 2018",,,
https://www.the-numbers.com/movie/Yo-kai-Watch-Movie-5-Forever-Friends-(Japan)-(2018)#tab=summary,100 minutes,Adventure,Digital Animation,Fantasy,,Japan,Japanese,"December 14, 2018",,,Yo-kai Watch
https://www.the-numbers.com/movie/Kin-(2018)#tab=summary,102 minutes,Action,Live Action,Science Fiction,"21 Laps Entertainment,No Trace Camping,Summit Entertainment",United States,English,"August 29, 2018","PG-13for gun violence and intense action, suggestive material, language, thematic elements and drinking(Rating bulletin 2516 (Cert #51272), 2/28/2018)","$30,000,000",
https://www.the-numbers.com/movie/Long-Xia-Xing-Jing-(China)#tab=summary,90 minutes,Action,Live Action,Contemporary Fiction,,China,Mandarin,"June 22, 2018",Not Rated,,
https://www.the-numbers.com/movie/25-km-h-(Germany)(2018)#tab=summary,116 minutes,Comedy,Live Action,Contemporary Fiction,,Germany,German,"October 31, 2018",,,
https://www.the-numbers.com/movie/Dog-Days-(2018)#tab=summary,113 minutes,Romantic Comedy,Live Action,Contemporary Fiction,"LD Entertainment,Liddell Entertainment",United States,English,"August 08, 2018","PGfor rude and suggestive content, and for language.(Rating bulletin 2523 (Cert #51558), 4/18/2018)","$10,000,000",
https://www.the-numbers.com/movie/Gui-Mi-2-(China)#tab=summary,138 minutes,Comedy,Live Action,Contemporary Fiction,,"China,Hong Kong",Mandarin,"March 02, 2018",Not Rated,,Girls (China)
https://www.the-numbers.com/movie/Miracle-Season-The-(2018)#tab=summary,99 minutes,Drama,Live Action,Dramatization,LD Entertainment,United States,English,"April 06, 2018","PGfor some thematic elements.(Rating bulletin 2493 (Cert #50736), 9/13/2017)",,
https://www.the-numbers.com/movie/Mao-Yu-Tao-Hua-Yuan-(China)#tab=summary,105 minutes,Adventure,Digital Animation,Kids Fiction,,China,Mandarin,"April 05, 2018","PGfor peril, some thematic elements and rude humor.(Rating bulletin 2590 (Cert #52331), 8/7/2019)",,
https://www.the-numbers.com/movie/Kohi-ga-Samenai-Uchi-Ni-(Japan)-(2018)#tab=summary,117 minutes,Adventure,Live Action,Science Fiction,,Japan,Japanese,"September 21, 2018",,,
https://www.the-numbers.com/movie/Ying-Xiong-Ben-Se-2018-(China)-(2018)#tab=summary,90 minutes,Action,Live Action,Contemporary Fiction,,China,Mandarin,"January 18, 2018",,,
https://www.the-numbers.com/movie/Kon-ya-romansu-gekijo-de-(Japan)#tab=summary,109 minutes,Drama,Live Action,Fantasy,,Japan,Japanese,"February 16, 2018",,,
https://www.the-numbers.com/movie/Pope-Francis-A-Man-of-His-Word-(Documentary)-(2018)#tab=summary,96 minutes,Documentary,Live Action,Factual,"Celestes Images,Centro Televisivo Vaticano,Solares Fondazione delle Arti,PTS Art’s Factory,Neue Road,Fondazione Solares Suisse,Decia Films,Focus Features,The Palindrome",United States,English,"May 18, 2018","PGfor thematic material including images of suffering(Rating bulletin 2525 (Cert #51401), 5/2/2018)",,
https://www.the-numbers.com/movie/Liteul-Poleseuteu-(S-Korea)#tab=summary,103 minutes,Drama,Live Action,Contemporary Fiction,,Republic of Korea,Korean,"February 28, 2018",,,
https://www.the-numbers.com/movie/Avengers-Endgame-(2019)#tab=summary,181 minutes,Action,Animation/Live Action,Super Hero,Marvel Studios,United States,English,"April 23, 2019","PG-13for sequences of sci-fi violence and action, and some language.(Rating bulletin 2573 (Cert #52133), 4/10/2019)","$400,000,000",Marvel Cinematic UniverseAvengers
https://www.the-numbers.com/movie/Captain-Marvel-(2019)#tab=summary,124 minutes,Action,Animation/Live Action,Super Hero,Marvel Studios,United States,English,"March 06, 2019","PG-13for sequences of sci-fi violence and action, and brief suggestive language.(Rating bulletin 2564 (Cert #52027), 2/6/2019)","$175,000,000",Marvel Cinematic UniverseCaptain Marvel
https://www.the-numbers.com/movie/Joker-(2019)#tab=summary,122 minutes,Thriller/Suspense,Live Action,Contemporary Fiction,"Village Roadshow Productions,Bron Creative,Joint Effort,Warner Bros.,DC Films",United States,English,"October 02, 2019","Rfor strong bloody violence, disturbing behavior, language and brief sexual images.(Rating bulletin 2593 (Cert #52301), 8/28/2019)","$55,000,000",BatmanJoker
https://www.the-numbers.com/movie/Toy-Story-4-(2019)#tab=summary,89 minutes,Adventure,Digital Animation,Kids Fiction,Disney-Pixar,United States,English,"June 20, 2019","G(Rating bulletin 2575 (Cert #52083), 4/24/2019)","$200,000,000",Toy Story
https://www.the-numbers.com/movie/Star-Wars-The-Rise-of-Skywalker-(2019)#tab=summary,142 minutes,Adventure,Animation/Live Action,Science Fiction,"Lucasfilm,Bad Robot,Walt Disney Pictures",United States,English,"December 18, 2019","PG-13for sci-fi violence and action.(Rating bulletin 2607 (Cert #52489), 12/4/2019)","$275,000,000",Star Wars
https://www.the-numbers.com/movie/Aladdin-(2019)#tab=summary,128 minutes,Adventure,Animation/Live Action,Fantasy,"Walt Disney Pictures,Rideback","United States,India",English,"May 22, 2019","PGfor some action/peril.(Rating bulletin 2573 (Cert #52084), 4/10/2019)","$182,000,000",
https://www.the-numbers.com/movie/Jumanji-The-Next-Level#tab=summary,123 minutes,Adventure,Live Action,Science Fiction,"7 Bucks Productions,Matt Tolmach Productions,Columbia Pictures,Hartbeat Productions,Detective Agency",United States,English,"December 04, 2019","PG-13for adventure action, suggestive content and some language.(Rating bulletin 2603 (Cert #51939), 11/6/2019)","$125,000,000",Jumanji
https://www.the-numbers.com/movie/Ne-Zha-(2019-China)#tab=summary,110 minutes,Adventure,Digital Animation,Fantasy,"Well Go USA Entertainment,Chengdu Coco Cartoon",China,Mandarin,"July 17, 2019",Not Rated,,Fengshen Cinematic UniverseNe Zha
https://www.the-numbers.com/movie/Wandering-Earth-The-(2019-China)#tab=summary,125 minutes,Action,Live Action,Science Fiction,"Beijing Jingxi Culture and Tourism Company,China Film Co. LTD,United Entertainment",China,Mandarin,"February 01, 2019",Not Rated,"$50,000,000",The Wandering Earth
https://www.the-numbers.com/movie/How-to-Train-Your-Dragon-The-Hidden-World-(2019)#tab=summary,104 minutes,Adventure,Digital Animation,Kids Fiction,"DreamWorks Animation,Dentsu Inc.,Fuji Television Network","United States,Japan",English,"January 03, 2019","PGfor adventure action and some mild rude humor.(Rating bulletin 2549 (Cert #51869), 10/17/2018)","$129,000,000",How to Train Your Dragon
https://www.the-numbers.com/movie/Maleficent-Mistress-of-Evil-(2019)#tab=summary,118 minutes,Adventure,Live Action,Fantasy,"Walt Disney Pictures,Roth Films",United States,English,"October 17, 2019","PGfor intense sequences of fantasy action/violence and brief scary images.(Rating bulletin 2597 (Cert #52342), 9/25/2019)","$185,000,000",Maleficent
